Body Excerpt,Actual Subject,Base Model,Fine-tuned Model
"------------------------------------------------------------------------------
------------------------
W E E K E N D   S Y S T E M S   A V A I L A B ...",Weekend Outage Report for 12-22-00 through 12-27-00,ARDMORE DATA CENTER - FACILITY OPERATIONS: No Scheduled Outages. AZURIX,ARDMORE DATA CENTER - FACILITY OPERATIONS
"Mike

Can you live with the gas position reports.

John...",Executive Reports Viewer,Mike Can you live with the gas position reports.,Mike Can you live with the gas position reports
"| notifications                                                            |
+------------------------------------------------------------------------...",Add/Drop notification,"if you have a cell phone or pager, you can get this information even sooner! go to your league's web site and click ""","News, Notifications"
"Good afternoon Ladies!

After speaking with each of your assistants, I have scheduled the above 
referenced meeting for Monday, June 4th.  It will be ...",Brokerage Agreement Meeting - 6/4,"if you have any questions or conflicts, please contact me directly to resolve any schedule issues. if you have any questions, please contact me directly","Meeting scheduled for Monday, June 4th"
"Please find the attached spreadsheets listing the unfinaled sales invoices 
for May production.  We have indicated which group is responsible for the ...",Texas Unfinaled Invoices - May 2000 Production,"the settlement coordinator is also listed on these spreadsheets. the deadline for finalizing the invoices is Friday, June 16, 2000.",Sales invoices for May Production
"Carol St Clair is scheduled to attend: 

Enron North America Orientation
Class Days and Times:
  6/15/2000  08:30:00 AM - 04:00:00 PM

If Carol St Cla...",Development Center Class Reminder  - Carol St Clair,Carol St Clair is scheduled to attend: Enron North America Orientation Class Days and Times: 6/15/2000 08:30:00 AM,Enron North America Orientation Class
I would like to set up a time to talk about ways to alleviate our credit issues with them and any transaction structures to help their current cashflo...,Sierra Pacific and Nevada Power,there may be a larger scale risk management proposal that has been pitched in the past that could be shown again.,I would like to discuss ways to alleviate our credit issues
"This is a reminder !!!!!  There will Not be a Friday Meeting September 22nd, 
2000.  

     
    
    Date:   Off Week

    Time:   
    Location:  
 ...",ENA Management Committee,"there will not be a Friday Meeting September 22nd, 2000.",ENA Management Committee
"6437 Mercer St

In West University.

2 1/2 blocks from University Avevue between University Avenue and Holcombe.

713-661-6096....","FW: Houston, we have a problem",6437 Mercer St In West University. 2 1/2 blocks from University Avevue between University Avenue and Holcombe.,6437 Mercer St In West University
"A redraft of Change Order #5 to the LM 6000 contract to provide for the 
purchase of a GE transformer for the Pleasanton project is attached.  

Pleas...",Change Order #5--Pleasanton Transformer,a redraft of Change Order #5 to the LM 6000 contract is attached. I understand that GE is to provide a more,Change Order #5 to Pleasanton project
"Start Date: 4/6/01; HourAhead hour: 6;  No ancillary schedules awarded.  
Variances detected.
Variances detected in Energy Import/Export schedule.
Var...",Start Date: 4/6/01; HourAhead hour: 6;  <CODESITE>,Variances detected in Energy Import/Export schedule. Variances detected in Load schedule.,Start Date: 4/6/01; HourAhead hour: 6; CODESITE>
"We are double checking your work and this is what I have on my swing worksheet.

Day May	Volume		GD	GD +.10	Amount
3		1196		3.665	3.765		4383.34
4		14...",City of Tallahassee Payment for May 2002,we are double checking your work and this is what I have on my swing worksheet. I'm using the Zone 2 gas daily.,City of Tallahassee Payment for May 2002
"Jeff Dasovich,
I am letting the students form their own teams for the team projects.
They should be in groups of four, with variations in the number
n...",Absence from Class Due to Business Travel,"students should be in groups of four, with variations in the number needing advanced approval by me. you can arrange for someone to turn in Personal Problem",Personal Problem Set #1
"By the way, I don't think I finished my thought when we were talking about this earlier today.  Yes, you are correct that PNR revenue was only $1,200 ...",July PNR Billing Detail,TK continues to challenge our ability to accomodate PNR's. the daily balancing report is helping us recognize opportunities for this,July PNR Billing Detail
"Hello, I guess if he wants to leave the deals as they are in the system then 
the accounting group will see zero for an index price and they will see ...",Constellation Cal Px trades,if he wants to leave the deals as they are in the system then the accounting group will see zero for an index price and they will see the,Constellation Cal Px trades
"I think that after my phone conversation today with Glen Mackey.  Carol St 
Clair is the attorney working on this now that Janice Moore has left Enron...",Engage Energy America LLC,Janice Moore has left Enron. he's working with the EEI & guaranty on power.,Engage Energy America LLC
"CC list suppressed...

December 13, 2000

Energy Price Volatility May Hurt Utilities' Credit

By REBECCA SMITH
Staff Reporter of THE WALL STREET JOURN...",WSJ:Utility Credit Squeeze.,"the price of power to be delivered Wednesday hit a new high of $1,182 per megawatt hour. even utilities in the east are at",Energy Price Volatility
"Jeff -- Here's a four pager.  Give me a call when you have a moment.  Thanks 
Joe
----- Forwarded by Joe Hartsoe/Corp/Enron on 04/20/2001 01:57 PM ---...",Reasons for Rising Gas Prices at Cal. Border,Joe Hartsoe/Corp/Enron is a four pager. it's a four pager.,Reasons for Rising Gas Prices at Cal. Border
"i still don't have january sales...steve accidentally sent me the wrong file, and i haven't gotten the correct one.  we s/b getting march sales any da...",juniper spreadsheets,"steve accidentally sent me the wrong file, and i haven't gotten the correct one. we s/b getting march",january sales
"Attached is your personal sheet for next week and the results so far.
(Please be sure they are both correct!)

Remember, $50 for last place--if you pa...",Week 2 sheet and results of week 1,poopster.xls - 99Playoffscores.xls - 99Playoffscores.xl,poopster.xls and 99Playoffscores.xls
"We just need people to give us a week.  Surely they'll give us that long.
 
How are the new designs coming?
 
Did you and Avril have a nice Christmas ...",Proposed Retention Bonuses for Netco,we need people to give us a week. Surely they'll give us that long? I am trying to reconnect my UK cell phone.,Proposed Retention Bonuses for Netco Sensitivity: Confidential
"Thanks for the update on this and all your assistance.

-----Original Message-----
From: Tana.Jones@enron.com [mailto:Tana.Jones@enron.com]
Sent: Mond...",FW: Deutsche Bank ISDA Master Agreements,a default in a swap transaction could possibly default certain structured loan transactions with a swap component. we are trying to carve those transactions out,Deutsche Bank ISDA Master Agreements
"JSavitt@nyiso.com writes to the NYISO_TECH_EXCHANGE Discussion List:

The NYISO is reserving hours-beginning 1 and 7 in the 19 August 2001
real-time m...",Price Reservations for the 19 Aug. RTM and 20 Aug. DAM,the NYISO is reserving hours-beginning 1 and 7 in the 19 August 2001 real-time market to verify prices. the,NYISO_TECH_EXCHANGE Discussion List
"Attached for your information is the latest advice on the introduction of 
EnronOnline to Australia. I'm not sure how close you want to follow progres...",EnronOnline Australian Legal Advice,there are no regulatory or contractual concerns that might delay implementation. there will need to be some more work on regulatory issues when we extend EnronOnline,EnronOnline to Australia
"Done without much fanfare, except by Commissoner Wood, who continued his vitriolic attack on DA and took on green choice as ""fraudulent."" The language...",CPUC VOTES 3-2 TO SUSPEND DIRECT ACCESS AFTER SEPTEMBER 20,the language in the order says no more DA contracts can be entered into after today. the language in the order says no more DA contracts can,DA contracts can be entered into after today
"fyi
---------------------- Forwarded by Kay Mann/Corp/Enron on 02/23/2001 03:02 
PM ---------------------------


Ernie@ECT
02/23/2001 03:01 PM
Sent b...",Class Confirmation - Wellhead to Burner Tip,"the registration must be canceled by 5:00 p.m. on April 19, 2001 to prevent a charge of $ 600 to your RC number",Class Confirmation - Wellhead to Burner Tip
"The attachment looks innocuous enough to me.



	""Taylor, Rob"" <robtaylor@akllp.com>
	11/28/2000 07:46 PM
		 
		 To: <kay.mann@enron.com>, <roseann.en...",GE Consent - Elektrobolt Turbines,attached is a draft of the GE consent to the assignment of the LM6000 Turbines to the Owner Trust. a draft of,GE Consent - Elektrobolt Turbines
The report named: East P/L Totals <http://trv.corp.enron.com/linkFromExcel.asp?report_cd=1&report_name=East+P/L+Totals&category_cd=1&category_name=EAS...,TRV Notification:  (East P/L Totals - 10/25/2001),the report named: East P/L Totals is available for viewing on the website.,East P/L Totals Report
"The attached schedule is for Tuesday, March 19.  Associated text files have been posted to Sparky. 

       






Michael R. Frazier
Manager, Load Fo...",EES CA SCHEDULE for 3/19/02,"the attached schedule is for Tuesday, March 19. a text file has been posted to Sparky.","Schedule for Tuesday, March 19"
"These rates are correct and I'm assuming you want wellhead to the pool (no 
surcharges).  Zone 4 to 4 is the most expensive zone on the pipe, Zone 5 r...",TRCO ZN 4 T&E/Fuel Rates,"zone 4 to 4 is the most expensive zone on the pipe, zone 5 runs a close second. are you sure you want 4 instead of 4",TRCO ZN 4 T&E/Fuel Rate
"Chris--Attached are CES's daily volume requirements for 3/13, 3/14, and 3/15.
Please call me if you have questions, etc.

Thanks.










Doug Kinne...",Updated Daily Volume requirements,"Chris--Attached are CES's daily volume requirements for 3/13, 3/14, and 3/15. please",Daily VolsAM.xl
"---------------------- Forwarded by Vince J Kaminski/HOU/ECT on 03/05/2001 
05:41 PM ---------------------------
   
	
	
	From:  Jason Sokolov        ...",List of Rice students,------------------ Forwarded by Vince J Kaminski/HOU/ECT on 03/05/2001 05:41 PM.,List of Rice students
"I told  Tom last week that I have a standing systems meeting on Thursdays at 
9:00, so this change doesn't work for me.  Can we try 10:00 am on Thursd...",CommodityLogic Weekly Update Mtg.,Sally Beck/HOU/ECT has a standing systems meeting on Thursdays from 9:00 - 10:00 AM. if you have any questions,CommodityLogic Weekly Update Mtg.
"Start Date: 4/28/01; HourAhead hour: 14;  No ancillary schedules awarded.  
Variances detected.
Variances detected in Energy Import/Export schedule.

...",Start Date: 4/28/01; HourAhead hour: 14;  <CODESITE>,Variances detected in Energy Import/Export schedule. $$$ Variance found in table tblINTCHG_IMP,Start Date: 4/28/01; HourAhead hour: 14; CODESITE>
